# PR 标题修正列表（格式：PR号|新标题）
251|feat(agent-hub): backend models + services + claude adapter (#205)
240|wip: align issue-204 agent routing and issue-213 task tab flow
172|fix(android): 修复 Android release cleartext 注入脚本中的 Kotlin 注释语法
171|fix(ci): 修复 CI 中 tauri-wrapper 的 PowerShell 5.1 UTF8NoBOM 兼容问题
170|fix(android): 修复 Android Release 局域网 HTTP 同步阻断并清理锁文件依赖
167|chore(assets): 统一 ExoMind 图标资产并接入一键刷新流程（Tauri/Android/Web）
160|fix(android): 修复 Android 录音权限与麦克风兼容性，并补齐 CI/模拟器验证证据
156|fix(android): 修复 Android 安全区遮挡并加固 GitHub 评论乱码防护
154|fix(android): 修复 Android ASR 录音权限链路并完善拒权提示
148|ci(release): signed Android AAB/APK, Windows EXE artifacts, and v0.2.0 preview flow
22|chore(monorepo): 迁移阶段性进展 - UI 组件迁移完成
14|feat: ExoMind MVP 最小验证版 - 事件与时间块记录系统
13|feat: ExoMind MVP 最小验证版 - 事件与时间块记录系统
10|wip: 移动端 WebSocket 客户端 + 多端消息同步
9|wip: 移动端 WebSocket 客户端 + 多端消息同步
7|release: 整合脚本系统与修复编码问题
6|fix: 修复脚本编码问题并重构脚本系统
5|refactor: 重构脚本系统到 Scripts/ 目录
2|refactor: 重构脚本系统到 Scripts/ 目录
1|docs: 整合全部规格文档为需求文档
